FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT NUMBER,DEPARTMENT DESCRIPTION,APPROPRIATION AUTHORITY,APPROPRIATION AUTHORITY DESCRIPTION,APPROPRIATION ACCOUNT,APPROPRIATION ACCOUNT DESCRIPTION,2019 ORDINANCE (AMOUNT $)
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,5,SALARIES AND WAGES - ON PAYROLL,6020740.00
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2214,COMMITTEE ON BUDGET/GOVNTL OPS,400,EQUIPMENT,9500.00
LOCAL,0100,CORPORATE FUND,81,DSS,2020,BUREAU OF SANITATION,181,MOBILE COMMUNICATION SERVICES,18000.00
LOCAL,0100,CORPORATE FUND,30,ADMINISTRATIVE HEARINGS,2005,ADMINISTRATIVE HEARINGS,9438,REIMBURSEMENT - 2FM,21850.00
GRANTS,0X99,RESILIENCY IN COMMUNITIES,41,HEALTH,280P,Resiliency in Communities,15,SCHEDULE SALARY ADJUSTMENTS,1695.00
LOCAL,0100,CORPORATE FUND,81,DSS,2045,BUREAU OF STREET OPERATIONS,162,REPAIR/MAINT EQUIPMENT,100800.00
LOCAL,0314,SEWER FUND,31,LAW,2005,LAW,270,LOCAL TRANSPORTATION,1214.00
LOCAL,0314,SEWER FUND,88,DWM,2025,OPERATIONS AND DISTRIBUTION,154,RENTAL-DATA HARDWARE EQ,6924.00
LOCAL,0100,CORPORATE FUND,81,DSS,2060,BUREAU OF FORESTRY,360,REPAIR PARTS AND MATERIAL,30000.00
LOCAL,0740,O HARE REVENUE FUND,85,AVIATION,2015,CHICAGO-O'HARE INT'L AIRPORT,166,DUES  SUBSC & MEM,540700.00
GRANTS,0T81,EARLY HEAD START - CHILD PARTNERSHIP,50,DFSS,2956,EHS - Child Care Partnership,169,TECHNICAL MEETING COSTS,1100.00
GRANTS,0Y12,EMERGENCY AND TRANSITIONAL HOUSING,50,DFSS,2942,Emergency /Transitional Housng,190,TELEPHONE - NON-CENTREX BILLINGS,12803.00
LOCAL,0300,VEHICLE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,45,PREM TERM LIFE INSURANCE,105245.00
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2255,COMM ON ECONOMIC/CAPITAL/TECH,700,CONTINGENCIES,1000.00
LOCAL,0300,VEHICLE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,138,IT MAINTENANCE,2308132.00
LOCAL,0100,CORPORATE FUND,38,FFM,2126,BUREAU OF FACILITY MANAGEMENT,340,MATERIAL AND SUPPLIES,5675000.00
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,125,OFFICE AND BUILDING SERVICES,142090.00
GRANTS,0U74,WOMEN INFANTS AND CHILDREN NUTRITION,41,HEALTH,2808,WIC NUTRITION,153,PROMOTIONS,4023.00
LOCAL,0300,VEHICLE FUND,84,CDOT,2150,ELECTRICAL OPERATIONS,440,MACHINERY AND EQUIPMENT,3250.00
LOCAL,0100,CORPORATE FUND,38,FFM,2131,BUREAU OF ASSET MANAGEMENT,149,SOFTWARE MAINTENANCE AND LICENSING,114670.00
LOCAL,0353,EMERGENCY COMMUN FD,58,OEMC,2705,OEMC,350,STATIONERY AND OFFICE SUPPLIES,22750.00
LOCAL,0200,WATER FUND,38,FFM,2131,BUREAU OF ASSET MANAGEMENT,140,PROFESSIONAL AND TECHNICAL SERVICES,134427.00
GRANTS,0Y24,MEDICARE IMPROVEMENTS FOR PATIENTS AND P,50,DFSS,2937,MEDICARE IMPROVEMENTS,5,SALARIES AND WAGES - ON PAYROLL,69747.00
LOCAL,0100,CORPORATE FUND,81,DSS,2020,BUREAU OF SANITATION,162,REPAIR/MAINT EQUIPMENT,13910.00
GRANTS,0V13,NAT. EXPLOSIVES DETECT. CANINE,57,CPD,2882,NAT. EXPLOSIVES DETECT. CANINE,421,MACHINERY AND EQUIPMENT,109000.00
LOCAL,0100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,350,STATIONERY AND OFFICE SUPPLIES,11350.00
LOCAL,0100,CORPORATE FUND,55,POLICE BOARD,2005,POLICE BOARD,15,SCHEDULE SALARY ADJUSTMENTS,1903.00
GRANTS,0Y02,STATE FOSTER GRANDPARENTS,50,DFSS,2818,STATE FOSTER GRANDPARENTS,168,EDUCATION DEVELOPMENT,894.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,340,MATERIAL AND SUPPLIES,2552.00
CDBG,0J45,CDBG,21,HOUSING,2557,Housing Preservation,130,POSTAGE,925.00
LOCAL,0100,CORPORATE FUND,50,DFSS,2005,FAMILY AND SUPPORT SERVICES,190,TELEPHONE - NON-CENTREX BILLINGS,40100.00
LOCAL,0300,VEHICLE FUND,25,CITY CLERK,2005,CITY CLERK,149,SOFTWARE MAINTENANCE AND LICENSING,630300.00
LOCAL,0355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,99,FINANCE GENERAL,2005,FINANCE GENERAL,160,REPAIR/MAINT PROPERTY,400000.00
GRANTS,0U60,HOPWA,41,HEALTH,2932,HOPWA,801,INDIRECT COSTS,107083.00
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,141,APPRAISALS,80000.00
GRANTS,0V69,TECHNOLOGY INNOVATION FOR PUBLIC SAFETY,57,CPD,2811,TECHNOLOGY OPPORTUNITIES,140,PROFESSIONAL AND TECHNICAL SERVICES,445000.00
LOCAL,0100,CORPORATE FUND,67,BUILDINGS,2005,BUILDINGS,32,REIMBURSABLE OVERTIME,250000.00
LOCAL,0346,LIBRARY FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,49,WORKERS' COMPENSATION,550000.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,5,SALARIES AND WAGES - ON PAYROLL,5580739.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2140,Sign Management,160,REPAIR/MAINT PROPERTY,5500.00
LOCAL,0740,O HARE REVENUE FUND,85,AVIATION,2015,CHICAGO-O'HARE INT'L AIRPORT,190,TELEPHONE - NON-CENTREX BILLINGS,985000.00
LOCAL,0100,CORPORATE FUND,28,TREASURER,2005,CITY TREASURER,130,POSTAGE,1000.00
LOCAL,0100,CORPORATE FUND,48,MOPD,2005,MOPD,130,POSTAGE,1683.00
LOCAL,0740,O HARE REVENUE FUND,85,AVIATION,2015,CHICAGO-O'HARE INT'L AIRPORT,229,TRANSPORTATION AND EXPENSE ALLOWANCE,5500.00
LOCAL,0200,WATER FUND,5,OBM,2005,OBM,5,SALARIES AND WAGES - ON PAYROLL,130356.00
GRANTS,0U37,UNDERGROUND STORAGE TANK INSPECTION,41,HEALTH,2720,UNDERGROUND STORAGE TANK,140,PROFESSIONAL AND TECHNICAL SERVICES,13680.00
GRANTS,0Z54,INCREASING ACCESS THROUGH DIGITIZATION,91,CPL,2851,Increasing Access - Digitizatn,140,PROFESSIONAL AND TECHNICAL SERVICES,19000.00
GRANTS,0U25,LOCAL HEALTH PROTECTION,41,HEALTH,2730,Local Health Protection,197,TELEPHONE - MAINTENANCE,750.00
LOCAL,0100,CORPORATE FUND,81,DSS,2006,ADMINISTRATIVE SERV DIVISION,5,SALARIES AND WAGES - ON PAYROLL,2018945.00
LOCAL,0740,O HARE REVENUE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,45,PREM TERM LIFE INSURANCE,215582.00
LOCAL,0100,CORPORATE FUND,81,DSS,2006,ADMINISTRATIVE SERV DIVISION,197,TELEPHONE - MAINTENANCE,25.00
GRANTS,0Z35,CHICAGO CULTURAL PLAN,23,DCASE,2859,CHICAGO CULTURAL PLAN,140,PROFESSIONAL AND TECHNICAL SERVICES,300000.00
GRANTS,0623,AIP-MIDWAY,85,AVIATION,2805,AIP-MIDWAY,140,PROFESSIONAL AND TECHNICAL SERVICES,35920000.00
LOCAL,0346,LIBRARY FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9076,CITY CNTB MEDICARE TAX,810584.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,AVIATION,2010,CHICAGO MIDWAY AIRPORT,144,ENGINEERING AND ARCHITECTURE,40000.00
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,179,MESSENGER SERVICES,5000.00
LOCAL,0100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,169,TECHNICAL MEETING COSTS,15424.00
GRANTS,0V40,CONSERVATION INNOVATION PROGRAM,54,PLANNING AND DEVELOPMENT,2884,Conservation Innovation,5,SALARIES AND WAGES - ON PAYROLL,82476.00
LOCAL,0300,VEHICLE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,56,DENTAL PLAN PREMIUMS,482021.00
CDBG,0J45,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,152,ADVERTISING,10000.00
LOCAL,0200,WATER FUND,31,LAW,2005,LAW,178,FREIGHT AND EXPRESS CHARGES,629.00
GRANTS,0U23,IMMUNIZATION /VACCINES FOR CHILDREN,41,HEALTH,2820,IMMUNIZATIONS,91,UNIFORM ALLOWANCE,2400.00
LOCAL,0610,MIDWAY AIRPORT FUND,38,FFM,2140,FLEET OPERATIONS,350,STATIONERY AND OFFICE SUPPLIES,846.00
LOCAL,0314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,912,PAYMENT OF BONDS,47821631.00
LOCAL,0100,CORPORATE FUND,38,FFM,2140,FLEET OPERATIONS,176,MAINTENANCE AND OPERATION - VEHICLES,6693452.00
GRANTS,0Y48,EARLY HEAD START - CHILD CARE PARTNERSHI,50,DFSS,2956,EHS - Child Care Partnership,801,INDIRECT COSTS,766000.00
LOCAL,0740,O HARE REVENUE FUND,28,TREASURER,2005,CITY TREASURER,138,IT MAINTENANCE,100000.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2115,ADMINISTRATION,12,CONTRACT WAGE - PREVAILING RATE,1173.00
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,190,TELEPHONE - NON-CENTREX BILLINGS,18100.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,162,REPAIR/MAINT EQUIPMENT,91150.00
LOCAL,0100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9180,WORLD BUSINESS CHICAGO,1200000.00
LOCAL,0100,CORPORATE FUND,33,DHR,2005,HUMAN RESOURCES,245,REIMBURSEMENT TO TRAVELERS,1500.00
LOCAL,0100,CORPORATE FUND,59,CFD,2005,Chicago Fire Department,9067,PHYSICAL EXAMS,584675.00
LOCAL,0610,MIDWAY AIRPORT FUND,38,FFM,2131,BUREAU OF ASSET MANAGEMENT,322,NATURAL GAS,764612.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2140,Sign Management,5,SALARIES AND WAGES - ON PAYROLL,3507104.00
CDBG,0J45,CDBG,54,PLANNING AND DEVELOPMENT,2505,FINANCE AND ADMINISTRATION,9438,REIMBURSEMENT - 2FM,86250.00
LOCAL,0740,O HARE REVENUE FUND,85,AVIATION,2015,CHICAGO-O'HARE INT'L AIRPORT,362,PAINTS AND PAINTING SUPPLIES,650000.00
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,159,LEASE/PURCHASE EQUIPMENT,2437.00
LOCAL,0100,CORPORATE FUND,31,LAW,2005,LAW,143,COURT REPORTING,971329.00
LOCAL,0100,CORPORATE FUND,67,BUILDINGS,2005,BUILDINGS,9438,REIMBURSEMENT - 2FM,28750.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2155,IN-HOUSE CONSTRUCTION,188,VEHICLE TRACKING SERVICE,12816.00
LOCAL,0300,VEHICLE FUND,67,BUILDINGS,2005,BUILDINGS,5,SALARIES AND WAGES - ON PAYROLL,508688.00
CDBG,0J45,CDBG,21,HOUSING,2558,Emergency Repair,140,PROFESSIONAL AND TECHNICAL SERVICES,149500.00
GRANTS,0V43,ABANDONED RESIDENTIAL PROPERTY,21,HOUSING,2834,Abandoned Res. Property Relief,140,PROFESSIONAL AND TECHNICAL SERVICES,1200000.00
GRANTS,0Y29,OAA NUTRITION PROGRAM INCOME - CON. MEAL,50,DFSS,2816,SENIOR FITNESS PRIVATE,140,PROFESSIONAL AND TECHNICAL SERVICES,35000.00
LOCAL,0B39,HUMAN CAPITAL INNOVATION,99,FINANCE GENERAL,2005,FINANCE GENERAL,9254,VIOLENCE REDUCTION PROGRAM,675000.00
LOCAL,0100,CORPORATE FUND,81,DSS,2005,COMMISSIONER'S OFFICE,154,RENTAL-DATA HARDWARE EQ,500.00
LOCAL,0740,O HARE REVENUE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,172,INSURANCE PREMIUMS,13846000.00
LOCAL,0610,MIDWAY AIRPORT FUND,59,CFD,2005,Chicago Fire Department,88,FURLOUGH / COMP TIME BUY-BACK,125000.00
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9611,REIMB - INDIRECT COSTS TO CORPORATE,7612000.00
LOCAL,0100,CORPORATE FUND,38,FFM,2131,BUREAU OF ASSET MANAGEMENT,322,NATURAL GAS,3475222.00
LOCAL,0740,O HARE REVENUE FUND,31,LAW,2005,LAW,9438,REIMBURSEMENT - 2FM,500.00
LOCAL,0100,CORPORATE FUND,38,FFM,2140,FLEET OPERATIONS,185,WASTE DISPOSAL SERVICES,4704.00
GRANTS,0Z10,GUN VIOLENCE,1,MAYOR,2826,Gun Violence,140,PROFESSIONAL AND TECHNICAL SERVICES,2233.00
GRANTS,0075,GRANTS MANAGEMENT FUND,5,OBM,2855,GRANTS MANAGEMENT,245,REIMBURSEMENT TO TRAVELERS,2500.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2140,Sign Management,140,PROFESSIONAL AND TECHNICAL SERVICES,400000.00
GRANTS,0Z77,TECHNOLOGY INNOVATION FOR PUBLIC SAFETY,57,CPD,2811,TECHNOLOGY OPPORTUNITIES,140,PROFESSIONAL AND TECHNICAL SERVICES,54000.00
GRANTS,0Z34,IAC - PARTNERS IN EXCELLENCE,23,DCASE,2838,IAC - PARTNERS IN EXCELLENCE,140,PROFESSIONAL AND TECHNICAL SERVICES,58000.00
LOCAL,0100,CORPORATE FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,9438,REIMBURSEMENT - 2FM,115000.00
LOCAL,0200,WATER FUND,88,DWM,2010,ADMINISTRATIVE SUPPORT,169,TECHNICAL MEETING COSTS,5000.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,LAW,2005,LAW,130,POSTAGE,462.00
GRANTS,0H26,RESOURCE CONSERVATION AND RECOVERY ACT D,41,HEALTH,2721,RESOURCE CONSERVATION,6,SALARY PROVISION,74976.00
LOCAL,0100,CORPORATE FUND,81,DSS,2060,BUREAU OF FORESTRY,157,RENTAL EQUIPMENT AND SERVICES,1059127.00
LOCAL,0100,CORPORATE FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,350,STATIONERY AND OFFICE SUPPLIES,143000.00
LOCAL,0100,CORPORATE FUND,73,ANIMAL CARE / CONTROL,2005,ANIMAL CARE AND CONTROL,135,DELEGATE AGENCIES,450000.00
LOCAL,0300,VEHICLE FUND,84,CDOT,2135,INFRASTRUCTURE MANAGEMENT,126,OFFICE CONVENIENCES,300.00
LOCAL,0300,VEHICLE FUND,81,DSS,2070,BUREAU OF TRAFFIC SERVICES,150,PUBLICATN & REPRODT-OUT,8000.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,5,SALARIES AND WAGES - ON PAYROLL,23292589.00
LOCAL,0100,CORPORATE FUND,70,BACP,2005,BACP,148,TESTING AND INSPECTING,31709.00
GRANTS,0J63,CDBG - DISASTER RECOVERY,88,DWM,2880,CDBG - Disaster Recovery,140,PROFESSIONAL AND TECHNICAL SERVICES,6099000.00
LOCAL,0100,CORPORATE FUND,50,DFSS,2005,FAMILY AND SUPPORT SERVICES,196,DATA CIRCUITS,46220.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TO TRAVELERS,558.00
GRANTS,0V03,EDWARD BYRNE MEMORIAL JAG,57,CPD,2996,Edward Byrne Memorial JAG,135,DELEGATE AGENCIES,600000.00
LOCAL,0200,WATER FUND,88,DWM,2025,OPERATIONS AND DISTRIBUTION,157,RENTAL EQUIPMENT AND SERVICES,2574060.00
LOCAL,0100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,340,MATERIAL AND SUPPLIES,115000.00
LOCAL,0740,O HARE REVENUE FUND,31,LAW,2005,LAW,181,MOBILE COMMUNICATION SERVICES,1590.00
CDBG,0J45,CDBG,21,HOUSING,2563,Construction and Compliance,159,LEASE/PURCHASE EQUIPMENT,3865.00
LOCAL,0100,CORPORATE FUND,30,ADMINISTRATIVE HEARINGS,2005,ADMINISTRATIVE HEARINGS,130,POSTAGE,62000.00
GRANTS,0X61,BIOTERRORISM PREPAREDNESS RESPONSE PLANN,41,HEALTH,2829,BIOTERRORISM RESPONSE,342,DRUGS  MEDICINE AND CHEMICAL MATERIALS,17485.00
LOCAL,0300,VEHICLE FUND,81,DSS,2045,BUREAU OF STREET OPERATIONS,401,TOOL <= $100 UNIT,22000.00
LOCAL,0100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,145,LEGAL EXPENSES,2850000.00
LOCAL,0100,CORPORATE FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,15,SCHEDULE SALARY ADJUSTMENTS,87900.00
GRANTS,0U01,C3 CLINICAL AND TRANSLATION RESEARCH,41,HEALTH,280R,C3 Clinical and Translation,15,SCHEDULE SALARY ADJUSTMENTS,1400.00
GRANTS,0243,TRANSPORTATION SECURITY ADMIN AGRMT,57,CPD,2862,TRANSPORTATION SEC-O'HARE,140,PROFESSIONAL AND TECHNICAL SERVICES,1750000.00
LOCAL,0100,CORPORATE FUND,81,DSS,2020,BUREAU OF SANITATION,319,CLOTHING,74000.00
CDBG,0J45,CDBG,50,DFSS,2510,HUMAN SERVICES,135,DELEGATE AGENCIES,1006000.00
LOCAL,0100,CORPORATE FUND,38,FFM,2131,BUREAU OF ASSET MANAGEMENT,141,APPRAISALS,30000.00
LOCAL,0100,CORPORATE FUND,31,LAW,2005,LAW,149,SOFTWARE MAINTENANCE AND LICENSING,209151.00
LOCAL,0100,CORPORATE FUND,70,BACP,2005,BACP,540,CONSTRUCTION OF BUILDINGS AND STRUCTURES,10000.00
LOCAL,0314,SEWER FUND,38,FFM,2131,BUREAU OF ASSET MANAGEMENT,155,RENTAL OF PROPERTY,414788.00
GRANTS,0U26,MATERNAL AND CHILD HEALTH,41,HEALTH,2910,MATERNAL AND CHILD HEALTH,9438,REIMBURSEMENT - 2FM,10000.00
LOCAL,0300,VEHICLE FUND,25,CITY CLERK,2005,CITY CLERK,181,MOBILE COMMUNICATION SERVICES,21500.00
GRANTS,0T74,AREA PLAN ON AGING - STATE,50,DFSS,2903,AREA PLAN ON AGING - STATE,130,POSTAGE,16819.00
LOCAL,0100,CORPORATE FUND,31,LAW,2005,LAW,145,LEGAL EXPENSES,140910.00
LOCAL,0100,CORPORATE FUND,38,FFM,2103,BUREAU OF FINANCE AND ADMIN,166,DUES  SUBSC & MEM,425.00
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,350,STATIONERY AND OFFICE SUPPLIES,20000.00
CDBG,0J45,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,245,REIMBURSEMENT TO TRAVELERS,6000.00
CDBG,0J45,CDBG,45,HUMAN RELATIONS,2505,EDUCATION  OUTREACH AND INTERG,5,SALARIES AND WAGES - ON PAYROLL,225078.00
LOCAL,0100,CORPORATE FUND,31,LAW,2005,LAW,181,MOBILE COMMUNICATION SERVICES,21227.00
LOCAL,0300,VEHICLE FUND,84,CDOT,2135,INFRASTRUCTURE MANAGEMENT,20,OVERTIME,31424.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,149,SOFTWARE MAINTENANCE AND LICENSING,420614.00
LOCAL,0B41,NEIGHBORHOOD OPPORTUNITY FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9610,REIMB - PENSION PAYMENTS,81000.00
LOCAL,0300,VEHICLE FUND,31,LAW,2005,LAW,20,OVERTIME,661.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,AVIATION,2010,CHICAGO MIDWAY AIRPORT,340,MATERIAL AND SUPPLIES,2538500.00
LOCAL,0100,CORPORATE FUND,81,DSS,2020,BUREAU OF SANITATION,313,CLEANING AND SANITATION SUPPLIES,21803.00
GRANTS,0V35,SECURING THE CITIES,59,CFD,2823,Securing the City,140,PROFESSIONAL AND TECHNICAL SERVICES,16135557.00
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,130,POSTAGE,16000.00
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,157,RENTAL EQUIPMENT AND SERVICES,8054.00
LOCAL,0100,CORPORATE FUND,1,MAYOR,2005,OFFICE OF THE MAYOR,162,REPAIR/MAINT EQUIPMENT,6984.00
GRANTS,0U23,IMMUNIZATION /VACCINES FOR CHILDREN,41,HEALTH,2820,IMMUNIZATIONS,44,FRINGE BENEFITS,1142967.00
LOCAL,0100,CORPORATE FUND,59,CFD,2005,Chicago Fire Department,22,DUTY AVAILABILITY,16801200.00
LOCAL,0200,WATER FUND,88,DWM,2015,ENGINEERING SERVICES,345,APPARATUS AND INSTRUMENTS,4000.00
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,320,GASOLINE,1956.00
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,931,TORT/NON-TORT JUDGMENT,4500.00
LOCAL,0353,EMERGENCY COMMUN FD,99,FINANCE GENERAL,2005,FINANCE GENERAL,52,MEDICAL CARE CLAIMS,202344.00
LOCAL,0100,CORPORATE FUND,81,DSS,2025,BUREAU OF RODENT CONTROL,20,OVERTIME,5500.00
LOCAL,0300,VEHICLE FUND,31,LAW,2005,LAW,270,LOCAL TRANSPORTATION,1065.00
LOCAL,0100,CORPORATE FUND,31,LAW,2005,LAW,348,BOOKS AND RELATED MATERIAL,15728.00
LOCAL,0740,O HARE REVENUE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,350,STATIONERY AND OFFICE SUPPLIES,5000.00
LOCAL,0353,EMERGENCY COMMUN FD,58,OEMC,2705,OEMC,166,DUES  SUBSC & MEM,19930.00
LOCAL,0100,CORPORATE FUND,59,CFD,2005,Chicago Fire Department,422,OFFICE MACHINES,2000.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,LAW,2005,LAW,181,MOBILE COMMUNICATION SERVICES,795.00
LOCAL,0346,LIBRARY FUND,91,CPL,2005,CHICAGO PUBLIC LIBRARY,154,RENTAL-DATA HARDWARE EQ,209972.00
LOCAL,0740,O HARE REVENUE FUND,57,CPD,1005,Chicago Police Department,5,SALARIES AND WAGES - ON PAYROLL,20348652.00
LOCAL,0200,WATER FUND,88,DWM,2025,OPERATIONS AND DISTRIBUTION,340,MATERIAL AND SUPPLIES,1118300.00
GRANTS,0Y31,SENIOR HEALTH ASSISTANCE PROGRAM,50,DFSS,2946,Senior Health Assistance Pgm.,44,FRINGE BENEFITS,105391.00
LOCAL,0100,CORPORATE FUND,38,FFM,2103,BUREAU OF FINANCE AND ADMIN,15,SCHEDULE SALARY ADJUSTMENTS,17998.00
GRANTS,0V81,PORT SECURITY GRANT - LOCAL MATCH,58,OEMC,2831,PORT SECURITY GRANT,140,PROFESSIONAL AND TECHNICAL SERVICES,183000.00
GRANTS,0U78,HIGH RISK INFANT FOLLOW-UP - STATE,41,HEALTH,280Z,High Risk Infant Follow-Up,5,SALARIES AND WAGES - ON PAYROLL,350156.00
GRANTS,0U40,INTEGRATED HIV SURVEILLANCE AND PREV.,41,HEALTH,280Y,HIV Surveillance and Preventn,801,INDIRECT COSTS,496141.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2115,ADMINISTRATION,39,STUDENT AS TRAINEES,5000.00
GRANTS,0U61,LOCAL HEALTH PROTECTION,41,HEALTH,2730,Local Health Protection,360,REPAIR PARTS AND MATERIAL,4500.00
GRANTS,0Z11,POLICE REFORM,1,MAYOR,2825,Police Reform,5,SALARIES AND WAGES - ON PAYROLL,92700.00
GRANTS,0Z83,IDOT SUSTAINED TRAFFIC ENFORCEMENT,57,CPD,2968,IDOT SUSTAINED TRAFFIC ENFORCE,20,OVERTIME,381000.00
LOCAL,0100,CORPORATE FUND,21,HOUSING,2010,Department of Housing,169,TECHNICAL MEETING COSTS,3400.00
LOCAL,0740,O HARE REVENUE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,161,MAINT FACILITIES,30000.00
LOCAL,0200,WATER FUND,31,LAW,2005,LAW,141,APPRAISALS,1000.00
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,959,BOND FEES AND COSTS,2769400.00
LOCAL,0610,MIDWAY AIRPORT FUND,35,DPS,2005,PROCUREMENT SERVICES,5,SALARIES AND WAGES - ON PAYROLL,355447.00
GRANTS,0831,HOME PROGRAM INCOME,21,HOUSING,2833,Home Investment Partnership,140,PROFESSIONAL AND TECHNICAL SERVICES,3697000.00
LOCAL,0200,WATER FUND,88,DWM,2025,OPERATIONS AND DISTRIBUTION,423,COMMUNICATION DEVICES,1000.00
LOCAL,0200,WATER FUND,88,DWM,2010,ADMINISTRATIVE SUPPORT,168,EDUCATION DEVELOPMENT,10500.00
GRANTS,0Z61,JOYCE FOUNDATION - ART WORKS PROGRAM - M,23,DCASE,2865,Art Works,140,PROFESSIONAL AND TECHNICAL SERVICES,50000.00
GRANTS,0T81,EARLY HEAD START - CHILD PARTNERSHIP,50,DFSS,2956,EHS - Child Care Partnership,245,REIMBURSEMENT TO TRAVELERS,2400.00
GRANTS,0U22,HOUSING OPPORTUNITIES - AIDS,41,HEALTH,2932,HOPWA,135,DELEGATE AGENCIES,4441894.00
LOCAL,0740,O HARE REVENUE FUND,85,AVIATION,2015,CHICAGO-O'HARE INT'L AIRPORT,9438,REIMBURSEMENT - 2FM,90000.00
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2255,COMM ON ECONOMIC/CAPITAL/TECH,0,PERSONNEL SERVICES,105652.00
GRANTS,0J63,CDBG - DISASTER RECOVERY,54,PLANNING AND DEVELOPMENT,2880,CDBG - Disaster Recovery,140,PROFESSIONAL AND TECHNICAL SERVICES,1933000.00
LOCAL,0100,CORPORATE FUND,38,FFM,2103,BUREAU OF FINANCE AND ADMIN,148,TESTING AND INSPECTING,1000.00
LOCAL,0100,CORPORATE FUND,28,TREASURER,2005,CITY TREASURER,5,SALARIES AND WAGES - ON PAYROLL,843373.00
LOCAL,0100,CORPORATE FUND,81,DSS,2060,BUREAU OF FORESTRY,154,RENTAL-DATA HARDWARE EQ,1500.00
LOCAL,0300,VEHICLE FUND,84,CDOT,2135,INFRASTRUCTURE MANAGEMENT,313,CLEANING AND SANITATION SUPPLIES,1600.00
LOCAL,0740,O HARE REVENUE FUND,85,AVIATION,2015,CHICAGO-O'HARE INT'L AIRPORT,11,CONTRACT WAGE - SALARY,567556.00
